Date,Close,High,Low,Open,Volume
2018-01-02,150.41156005859375,150.4495148339778,148.20980657958236,148.57992718394723,32573300
2018-01-03,151.87306213378906,152.0059255729252,150.5254431136857,150.55391281628425,29383600
2018-01-04,152.13882446289062,152.59435429164202,151.92055186509776,152.39506632701486,24776100
2018-01-05,153.66673278808594,153.7711265293691,152.575355522786,152.86006704274277,26992300
2018-01-08,154.2646026611328,154.34052668726702,153.6097706066243,153.66671000596813,23159100
2018-01-09,154.2740936279297,154.72962332111067,153.8090788615048,154.56829018979715,24782400
2018-01-10,153.9134521484375,153.9419363291216,152.9074841444912,153.59078589830892,34004000
2018-01-11,154.96688842773438,154.97638798249324,153.9419501857781,154.17920735829233,20473500
2018-01-12,156.1057586669922,156.26709183161606,154.63476107291123,154.83404901937507,37762700
2018-01-16,155.65968322753906,157.93734619512568,155.19465397586944,157.14016560457318,41231800
2018-01-17,157.33949279785156,157.5767500195922,155.6407374618427,156.39996346761896,33849900
2018-01-18,157.3679656982422,157.72858680231732,156.72261857126517,157.09273923138872,26432200
2018-01-19,157.86143493652344,158.1176767474412,157.10220905889656,157.8329652332025,38937600
2018-01-22,159.55072021484375,159.55072021484375,157.62419287318932,157.80451066553647,26081400
2018-01-23,160.86988830566406,161.01225133342462,159.9683137206429,160.0442377725754,37989700
2018-01-24,159.82594299316406,161.56266742738686,158.90538390265752,161.21151692580287,54287400
2018-01-25,159.7689971923828,160.9837528440695,159.25651355371613,160.92681343555756,28925000
2018-01-26,162.21746826171875,162.23645289035082,160.34789505077867,160.66106177754983,32038200
2018-01-29,161.4298095703125,162.19852060467093,161.08815861270534,161.87585427832826,37277800
2018-01-30,160.10113525390625,160.78443706128053,159.2659998634709,159.9587867444651,44987700
2018-01-31,160.76547241210938,161.325410407897,159.75950420429976,161.00272961134863,42449200
2018-02-01,159.39889526367188,161.07866593603657,158.8864115648582,159.53175872613627,38037900
2018-02-02,156.21966552734375,159.15216168551237,156.08680204551507,158.77255587486857,68478100
2018-02-05,150.0603790283203,157.30147098417456,149.94650024434137,154.75808160180833,105372200
2018-02-06,154.036865234375,154.2266681018943,147.19437556145184,147.86817791329983,118537900
2018-02-07,152.04393005371094,155.21368317958692,152.03443049662485,153.54338300803482,91028300
2018-02-08,145.62841796875,152.60378311832812,145.62841796875,152.43295046108057,94184800
2018-02-09,148.1433868408203,149.2252789867245,142.47768430591904,147.687842635471,113836600
2018-02-12,150.77218627929688,151.7971390221584,148.4850380974874,149.66182442812078,63050600
2018-02-13,151.5504150390625,151.85409673224095,149.68082709955098,149.90859923020778,31785600
2018-02-14,154.3880157470703,154.62527297398506,149.94656741012153,150.65833909086578,52107400
2018-02-15,157.2540283203125,157.2540283203125,154.1602004510086,155.77354609474344,51633900
2018-02-16,156.55177307128906,158.26001306296607,156.28603172573224,156.7415759058056,62256300
