Date,Close,High,Low,Open,Volume
2018-01-02,236.5622100830078,236.59742424454294,235.3563869406468,235.74366213592793,86655700
2018-01-03,238.0584716796875,238.20811170109027,236.72941257737043,236.72941257737043,90070400
2018-01-04,239.06179809570312,239.5459053575724,238.1200411901714,238.70095378809887,80636400
2018-01-05,240.65501403808594,240.77822331803125,239.36116886571045,239.8540597065643,83524000
2018-01-08,241.09506225585938,241.25348567600324,240.26770413662032,240.55814707355077,57319200
2018-01-09,241.6407470703125,242.26565732120056,241.23585142785015,241.517510954642,57254000
2018-01-10,241.2710723876953,241.5351382742084,240.2148894232378,240.88379724256805,69574300
2018-01-11,243.03135681152344,243.03135681152344,241.6583004230254,241.8255340603897,62361500
2018-01-12,244.61573791503906,244.78294473745254,242.99620889486286,243.29548896158266,90816100
2018-01-16,243.7794952392578,246.5256079282304,243.084156814638,245.87429390496845,106555100
2018-01-17,246.1031494140625,246.49042451957706,243.77952564150394,244.71249925191754,113258800
2018-01-18,245.6895294189453,246.41124506409105,245.19661178881137,245.9887826104511,100728000
2018-01-19,246.80726623535156,246.80726623535156,245.6894654703297,246.2703511928904,140920100
2018-01-22,248.81407165527344,248.81407165527344,246.54322885390033,246.5960635134814,91322400
2018-01-23,249.34219360351562,249.63263651822,248.532429194971,248.85808626496785,97084700
2018-01-24,249.2454071044922,250.5832766456746,248.0659878609213,249.98474333804995,134816100
2018-01-25,249.3510284423828,250.2047905757912,248.55888437831655,250.10798520442722,84587300
2018-01-26,252.23793029785156,252.28195470890776,249.93189995130047,250.1871555817258,107743100
2018-01-29,250.5655517578125,252.10584165122822,250.4071283867298,251.66575882453802,90118300
2018-01-30,247.99546813964844,250.61834443784775,247.52017119453294,248.7348040206489,131796400
2018-01-31,248.1187286376953,249.35095536070756,247.0449253089572,248.84928127883944,108364800
2018-02-01,247.83706665039062,249.1397216647866,247.044922826452,247.38820037112447,90102500
2018-02-02,242.44168090820312,246.64887236739563,242.40646675517465,246.51682600867105,173174800
2018-02-05,232.30215454101562,242.7937427585855,231.75645603942664,240.68135019801932,294681800
2018-02-06,236.87899780273438,237.38069869543102,227.69887605003453,228.7902729165111,355026800
2018-02-07,235.5940399169922,239.7219936555616,235.51480134144427,236.32456586247582,167376100
2018-02-08,226.7571258544922,236.03408117347925,226.72191170053435,235.89325141817721,246449500
2018-02-09,230.16336059570312,232.02049757208297,222.6115362922506,229.54723378106326,283565300
2018-02-12,233.543212890625,235.0131017383919,230.30420887774528,232.21415380783523,143736000
2018-02-13,234.12405395507812,234.6697523395454,231.75640629819432,232.3373188282629,81223600
2018-02-14,237.283935546875,237.64480681010988,232.62785014434985,232.63666039923194,120735700
2018-02-15,240.31163024902344,240.32044050103426,236.56211592374362,239.02659590009435,111200300
2018-02-16,240.3821563720703,242.3273428387347,239.6428200538216,239.68684447618708,160420100
2018-02-20,238.8769989013672,240.8749925095738,238.08485503306727,239.4315076673359,86369700
2018-02-21,237.68875122070312,241.7991371121962,237.59194588077656,239.31706323837452,98883700
2018-02-22,237.99688720703125,240.32932179548155,237.32797929482788,238.6130141672417,110511300
2018-02-23,241.7903594970703,241.7903594970703,238.7449930968572,239.22029018931661,92766400
2018-02-26,244.5980682373047,244.6949004419044,242.2744445137796,242.86414055255415,86491400
2018-02-27,241.5438690185547,245.49583131620943,241.48225097241271,244.7828723804004,99099200
2018-02-28,239.09698486328125,243.09294429171402,238.78013813371226,242.64405123096822,121907800
2018-03-01,235.62042236328125,240.43493091456583,234.12412958786794,238.88583033395267,176855100
2018-03-02,236.83502197265625,237.398341026059,233.0855336080012,233.94807897529424,139083200
2018-03-05,239.5723419189453,240.18846875059273,235.541167333542,235.64680979709024,97307400
2018-03-06,240.1796112060547,240.62850429102699,238.68331882982997,240.54926574383524,79213200
2018-03-07,240.09158325195312,240.44364413738393,237.82076770947924,238.01440522554475,87063500
2018-03-08,241.25344848632812,241.37665772949185,239.77477640519388,240.76934118536022,66901200
2018-03-09,245.45187377929688,245.45187377929688,242.3448890552754,242.66176276423687,113625300
2018-03-12,245.1437530517578,246.36719632748682,244.7564779760254,245.74228617095227,71924800
2018-03-13,243.55950927734375,246.80732360191908,242.9521926566162,246.3056225916604,91968900
2018-03-14,242.30960083007812,244.70365255281754,241.75511901481588,244.51882528106347,105895100
2018-03-15,242.04571533203125,243.4627700814605,241.5440141300857,242.82026591878045,83433000
2018-03-16,242.30810546875,243.35970001376637,242.25508616127956,242.57320200610218,100343700
2018-03-19,239.02951049804688,242.48474468467887,237.3770130540277,241.55688015274268,109208400
2018-03-20,239.4361114501953,240.0723701132613,238.7556520517941,239.4272659095059,59757300
2018-03-21,238.97650146484375,241.48618015205858,238.7644242982943,239.39183722807212,78709600
2018-03-22,233.0028533935547,237.59803111393998,232.72888433108503,236.74969517554956,148785900
2018-03-23,228.03640747070312,233.77157928506128,227.84199440974007,233.44461799346522,183534800
2018-03-26,234.2752685546875,234.55805609934146,229.23824688504877,231.6418870783982,141956100
2018-03-27,230.2898712158203,235.7422293758554,228.73456648530788,235.21203637055171,129941400
2018-03-28,229.6094207763672,232.0926172982425,228.50480702582675,230.42242836273297,146452300
2018-03-29,232.54324340820312,234.40784513814182,229.61822883172016,230.7493520488969,111601600
2018-04-02,227.52389526367188,232.52558895343842,225.0495580668502,232.0130331334397,186286300
2018-04-03,230.44012451171875,230.91732526936676,226.96722486953755,228.761116771091,119956900
2018-04-04,232.9055633544922,233.6125052626878,226.75508245525387,226.88763069202741,123715300
2018-04-05,234.74371337890625,235.62740446622072,233.57723467130435,234.66415744910958,82652600
2018-04-06,229.5122528076172,234.27533379736204,227.9923030419464,232.7819206539907,179521200
2018-04-09,230.64334106445312,234.03671112210202,229.70663080225304,230.970302405471,105442900
2018-04-10,234.31060791015625,235.09710565907096,232.39301399524987,233.53295569894706,103529000
2018-04-11,233.0823211669922,234.74366437925775,232.7553598478326,232.82604325409434,91140200
2018-04-12,234.9999237060547,235.94547947818188,234.2311169080454,234.4078658821633,68890500
2018-04-13,234.31060791015625,236.42264184596766,233.30321443152818,236.30775772820684,85079200
2018-04-16,236.23712158203125,237.00595546518431,235.12368917353777,235.94551539526447,63405300
2018-04-17,238.764404296875,239.36530753049612,237.4918874679706,238.0044162335648,64682000
2018-04-18,238.94122314453125,239.74535822498413,238.48168656357623,239.20631965807513,57303900
2018-04-19,237.61569213867188,238.49053762171857,236.58176177570866,238.28727897789233,77655900
2018-04-20,235.60084533691406,237.7658990812484,234.71715433401994,237.54497633052486,99953100
2018-04-23,235.56546020507812,236.73193851944254,234.48735636327513,236.17520900721848,65558000
2018-04-24,232.39306640625,236.81152135905498,230.89078093505276,236.59059861141472,112885500
