Date,Close,High,Low,Open,Volume
2018-01-02,40.30418395996094,40.313544878374515,39.60226502500425,39.812842847577855,102223600
2018-01-03,40.29716110229492,40.83998007240303,40.23399097485094,40.367353702932206,118071600
2018-01-04,40.484336853027344,40.587285516147695,40.262063277732224,40.369688829071734,89738400
2018-01-05,40.94525909423828,41.03182792816311,40.48901263550257,40.58026192724971,94640000
2018-01-08,40.79318618774414,41.08799082619294,40.6949144047839,40.79318618774414,82271200
2018-01-09,40.78850173950195,40.959300980537996,40.57324707008062,40.83997607024875,86336000
2018-01-10,40.77914047241211,40.78148248660823,40.477316963030724,40.51475348873273,95839600
2018-01-11,41.01077651977539,41.05991240789748,40.82593946856962,40.84933462041617,74670800
2018-01-12,41.43426513671875,41.49743882718429,41.09734354776063,41.22134891451,101672400
2018-01-16,41.22369384765625,41.972406559387096,41.211994486349994,41.623785585266006,118263600
2018-01-17,41.904541015625,41.9396355168708,40.96163066730062,41.21431821655548,137547200
2018-01-18,41.941978454589844,42.13851839305448,41.705667123879905,41.96771561497552,124773600
2018-01-19,41.75482177734375,42.016870386277404,41.50914942139618,41.78991629813146,129700400
2018-01-22,41.4132080078125,41.59570660494731,41.31962026523079,41.48340059982055,108434400
2018-01-23,41.42256546020508,41.98410262756551,41.37109470075366,41.48340070616833,130756400
2018-01-24,40.76275634765625,41.48339326253361,40.524103005097594,41.47169390424431,204420400
2018-01-25,40.035118103027344,40.93357351974331,39.899413341625795,40.83062483384252,166116000
2018-01-26,40.128692626953125,40.243340638442135,39.78943262048329,40.243340638442135,156572000
2018-01-29,39.298095703125,39.81283544569889,39.089859933941504,39.81283544569889,202561600
2018-01-30,39.06645965576172,39.16004739790291,38.53534011524448,38.7295380718238,184192800
2018-01-31,39.17408752441406,39.41040247806591,38.95649440447249,39.04306324959199,129915600
2018-02-01,39.255977630615234,39.452514033583086,39.01732424407224,39.11325400152449,188923200
2018-02-02,37.55265808105469,39.026688364620185,37.45907033009402,38.839509292555,346375200
2018-02-05,36.61442184448242,38.34348150059493,36.499773833727474,37.225091280275514,290954000
2018-02-06,38.14460754394531,38.30604944131928,36.03183221340703,36.22603017907835,272975200
2018-02-07,37.32804489135742,38.231180670017345,37.21808088344142,38.158649622816874,206434400
2018-02-08,36.300899505615234,37.66964260600261,36.27282389580829,37.50352025097628,217562000
2018-02-09,36.74491500854492,37.0926057952475,35.295416555680326,36.8999676132487,282690400
2018-02-12,38.224952697753906,38.502164684443535,37.00333010270935,37.235908995126586,243278000
2018-02-13,38.607879638671875,38.70420051241455,37.975925806374015,38.0464045819101,130196800
2018-02-14,39.3197135925293,39.35965073484387,38.26489411950926,38.30247969864652,162579600
2018-02-15,40.639991760253906,40.66348229136409,39.70263246077714,39.88822307075236,204588800
2018-02-16,40.50844955444336,41.06992836864625,40.35340050220169,40.492006533089175,160704400
