Date,Close,High,Low,Open,Volume,daily_return,log_return,price_range,volatility_20d,volume_change,volume_zscore,ma_20,ma_50,price_vs_ma20,price_vs_ma50,momentum_5d,momentum_20d,if_score,if_anomaly,yhat,yhat_lower,yhat_upper,residual,prophet_anomaly,consensus_anomaly
2018-03-14,242.3096923828125,244.70374501010537,241.75521035804832,244.5189176685173,105895100,-0.0051315264952198625,-0.005144737993454696,0.012168455265086186,0.009651739134129218,0.15142292666325252,-0.0005769778000310403,240.47933349609374,241.46539794921875,0.00761129391082784,0.0034965441871356836,0.009238724241546148,0.034962690526237905,-0.3692837416993035,0,234.31899227760022,212.44161370326913,254.90531473456542,7.990700105212284,0,0
2018-03-15,242.0455474853516,243.4626012521237,241.54384663131088,242.8200975349884,83433000,-0.0010901128009506156,-0.0010907074060737296,0.007927246093749942,0.009261741691415326,-0.21211651908350815,-0.7349539337422367,240.71741333007813,241.5750668334961,0.0055173995802799995,0.0019475546794726606,0.003283138070031777,0.020067082765270028,-0.36761755158420867,0,234.3244724804296,213.7492083874611,255.25768523959343,7.721075004922,0,0
2018-03-16,242.30812072753903,243.35971533877716,242.25510141672984,242.57321728158507,100343700,0.0010848092225423933,0.0010842212422103091,0.0045587160625515846,0.00884225885402928,0.20268598755887957,-0.11281521583147668,240.8172378540039,241.6600601196289,0.006190930876962303,0.0026817034125925896,-0.012807838103992997,0.008307922826900738,-0.3764867372735411,0,234.4713024271592,214.9089513938271,255.54929384365846,7.836818300379832,0,0
2018-03-19,239.029541015625,242.4847756433966,237.3770433606268,241.5569109929973,109208400,-0.013530622506872536,-0.01362299556930755,0.021368623564548942,0.009379222679538404,0.08834336385841857,0.335044382160182,240.74961166381837,241.65941558837892,-0.007144645577228466,-0.010882566136936346,-0.02494115116280382,-0.005626558723203723,-0.41980289702772433,0,234.96832074726916,213.34090796927143,255.15698589697212,4.061220268355839,0,0
2018-03-20,239.4360809326172,240.07233951458807,238.75562162094465,239.4272353930552,59757300,0.0017007936143156321,0.0016993489027285823,0.005499245930332316,0.009278656952026397,-0.4528140692474205,-1.522904762546325,240.7775650024414,241.63503784179687,-0.005571466219498551,-0.009100323069121228,-0.016929921387261904,0.0023403958494143673,-0.42419977065016495,0,235.36722459934384,216.58191429120018,254.16934479237835,4.068856333273345,0,0
2018-03-21,238.9764862060547,241.48616473302508,238.7644090530465,239.39182194276364,78709600,-0.001919488177271944,-0.001921332755511992,0.011389219597244262,0.009214650119083016,0.3171545568491214,-0.7482984299094656,240.841951751709,241.592666015625,-0.007745600515550819,-0.010828887535026104,-0.01375597543779572,0.0054177363410683466,-0.3896037252906883,0,235.63359141701804,215.49666205431794,256.8002273034651,3.3428947890366487,0,0
2018-03-22,233.0028381347656,237.59801555422396,232.72886909023757,236.74967967138892,148785900,-0.024996802681826913,-0.025314528688976424,0.020897369761522604,0.010804986094587783,0.8903145232601868,1.6774613189911982,240.5922523498535,241.41990661621094,-0.0315447157627166,-0.03486484855130894,-0.03735953602341413,-0.02098342283565946,-0.5058844067056696,0,236.0206307011136,215.4703189448432,254.4912865263072,-3.0177925663479925,0,0
2018-03-23,228.0364532470703,233.77162621271535,227.8420401470805,233.4446648554846,183534800,-0.021314696968724456,-0.0215451354902595,0.026002799031479108,0.01094064119535442,0.2335496844795104,2.2984060208678256,239.90456008911133,241.1552133178711,-0.04947011777363743,-0.054399653610261,-0.058898841019514814,-0.0568833625763121,-0.5105279333662557,0,236.52030871240527,215.68012742965078,256.0428680240239,-8.483855465334955,0,0
2018-03-26,234.27532958984372,234.55811720817164,229.2383066079222,231.6419474274861,141956100,0.027359118482753297,0.02699154702199465,0.02270751516842627,0.012493821003259208,-0.22654395787610848,0.9805589384196177,239.38842239379883,240.98009155273436,-0.02135898116051732,-0.02782288744140269,-0.01988963960513357,-0.04220292227438838,-0.5003520789013814,0,237.86382620807103,216.4533429346907,258.90681738934495,-3.5884966182273104,0,0
2018-03-27,230.2898712158203,235.7422293758554,228.73456648530788,235.2120363705517,129941400,-0.017011856865171926,-0.0171582208254901,0.030429748618775176,0.012730940929931628,-0.08463672924235033,0.5864065209135538,238.8257209777832,240.69357513427735,-0.035740914868867615,-0.04322385386752869,-0.03819896183220117,-0.0465920619064486,-0.46317055718839306,0,238.4630523555508,218.80604963610145,257.91625932829544,-8.173181139730474,0,0
2018-03-28,229.6094665527344,232.09266356967524,228.50485258197128,230.42247430118644,146452300,-0.0029545574865872393,-0.002958930807834969,0.015625710218180173,0.012599253424528969,0.12706419970848404,0.9970855785909964,238.35134582519532,240.4101742553711,-0.03667644183923398,-0.04492616727262067,-0.0391964071529769,-0.03968056587020641,-0.4290359827471769,0,238.8854551074964,217.76659076417783,261.17646131331804,-9.275988554761994,0,0
2018-03-29,232.54327392578125,234.40787590041907,229.61825896543692,230.74938233105556,111601600,0.012777379857607185,0.012696437894545335,0.02059666940317873,0.012642834052505573,-0.23796621835232357,0.13160646820963195,238.19748916625977,240.1389764404297,-0.023737509829635225,-0.03163044428371954,-0.0019723545544048093,-0.013059705721271797,-0.4235232404172518,0,239.38337679831997,218.8991311845313,260.02784142698107,-6.840102872538722,0,0
2018-04-02,227.5239105224609,232.52560454766385,225.04957315969892,232.0130486932908,186286300,-0.02158464237035862,-0.021820998054482343,0.03285822299202658,0.013395757023260419,0.6692081475534402,2.1080887803270723,237.73193435668946,239.7756640625,-0.04293922001624144,-0.051096734891517365,-0.0022476350483054963,-0.03931469557900069,-0.5201238524989464,0,241.22496700057914,220.4375113464723,261.8140983710012,-13.701056478118232,0,0
2018-04-03,230.440185546875,230.91738643091605,226.96728498484975,228.76117736153955,119956900,0.012817444187371185,0.01273599598315579,0.017141547758660298,0.013465232230485154,-0.3560616105424822,0.2516357960432649,237.27532882690429,239.44832122802734,-0.028806801422728696,-0.03762037518138983,-0.016370242866302176,-0.03811839157841612,-0.4446839116238646,0,241.72086018442383,220.90832610159285,260.4327389943174,-11.280674637548827,0,0
