Date,Close,High,Low,Open,Volume,daily_return,log_return,price_range,volatility_20d,volume_change,volume_zscore,ma_20,ma_50,price_vs_ma20,price_vs_ma50,momentum_5d,momentum_20d,ticker,if_score,if_anomaly,yhat,yhat_lower,yhat_upper,residual,prophet_anomaly,consensus_anomaly
2018-03-14,242.30960083007807,244.70365255281757,241.75511901481588,244.51882528106347,105895100,-0.005131840062308379,-0.005145053177970322,0.012168455265086194,0.00965178112391387,0.15142292666325252,-0.0005769778000310403,240.47934036254884,241.46539581298828,0.007610884430944926,0.0034961739103337892,0.009238214634943454,0.03496243438775659,SPY,-0.3692850585362529,0,234.27362196180735,214.70190746567482,253.07087899104584,8.035978868270718,0,0
2018-03-15,242.04571533203125,243.4627700814605,241.5440141300857,242.82026591878045,83433000,-0.0010890426839994527,-0.001089636121875148,0.007927246093750033,0.009261766796205684,-0.21211651908350815,-0.7349539337422367,240.71742935180663,241.57506591796874,0.00551802993161472,0.0019482532780196963,0.003283960708847955,0.020067855728124417,SPY,-0.3676188624796543,0,234.2773360955385,213.9126878341799,255.07708728920036,7.768379236492763,0,0
2018-03-16,242.30810546875,243.3597000137664,242.2550861612796,242.57320200610215,100343700,0.0010840519790189518,0.0010834648189753707,0.004558716062551473,0.008842280173311092,0.20268598755887957,-0.11281521583147668,240.81725311279297,241.66005859375,0.006190803759640727,0.0026816466021363696,-0.012808084379806628,0.00830785933105993,SPY,-0.37648383349311404,0,234.42198682430404,213.69050132405496,253.44541886850638,7.886118644445958,0,0
2018-03-19,239.02951049804688,242.48474468467887,237.3770130540277,241.55688015274268,109208400,-0.013530686331605035,-0.013623060269475665,0.021368623564548925,0.009379246166752495,0.08834336385841857,0.335044382160182,240.7496208190918,241.65941284179686,-0.007144810094373865,-0.010882681178538094,-0.02494145772672418,-0.0056270643979488,SPY,-0.41980289702772433,0,234.91260067416505,215.22463087299278,254.36957742884852,4.1169098238818265,0,0
2018-03-20,239.4361114501953,240.0723701132613,238.7556520517941,239.4272659095059,59757300,0.0017010491771549674,0.001699604031613738,0.005499245930332748,0.009278667977593443,-0.4528140692474205,-1.522904762546325,240.7775764465332,241.63503479003907,-0.005571386738481334,-0.009100184258273815,-0.016929734500544802,0.0023405876304523066,SPY,-0.42419977065016495,0,235.30890453010255,214.86473951154773,256.1709798352274,4.12720692009276,0,0
2018-03-21,238.97650146484372,241.48618015205855,238.7644242982943,239.3918372280721,78709600,-0.0019195516606407281,-0.0019213963609727247,0.011389219597244178,0.009214663779791096,0.3171545568491214,-0.7482984299094656,240.84196395874022,241.59266357421876,-0.007745587451761864,-0.010828814379834587,-0.01375553982927702,0.005417800537581563,SPY,-0.3896007203410849,0,235.5732675295279,214.6419064525663,255.33495057353272,3.403233935315825,0,0
2018-03-22,233.0028533935547,237.59803111394,232.72888433108503,236.7496951755496,148785900,-0.024996801085766296,-0.025314527051996546,0.02089736976152273,0.010804995104774354,0.8903145232601868,1.6774613189911982,240.5922622680664,241.4199057006836,-0.0315446922646899,-0.034864781686910686,-0.03736014052581693,-0.02098360979457814,SPY,-0.5058844067056696,0,235.9585535310774,216.88522705136512,256.4137847986162,-2.9557001375227117,0,0
2018-03-23,228.03640747070312,233.77157928506128,227.84199440974007,233.4446179934652,183534800,-0.021314957523129396,-0.02154540171929024,0.02600279903147927,0.010940671893620718,0.2335496844795104,2.2984060208678256,239.90456466674806,241.15521240234375,-0.04947032672150701,-0.05439983984154234,-0.05889897067387817,-0.056883789969855436,SPY,-0.5105279333662557,0,236.45607969685582,216.7856271206182,254.4020747855182,-8.419672226152699,0,0
2018-03-26,234.2752685546875,234.55805609934143,229.2382468850488,231.6418870783982,141956100,0.02735905706103492,0.026991487235967438,0.022707515168425965,0.012493860114284204,-0.22654395787610848,0.9805589384196177,239.3884246826172,240.98009063720704,-0.021359245480263953,-0.027823137026757865,-0.019889769817347358,-0.04220311205647864,SPY,-0.5003520789013814,0,237.79820513790435,216.7087646804528,257.4848549125271,-3.522936583216847,0,0
2018-03-27,230.2898712158203,235.7422293758554,228.73456648530788,235.2120363705517,129941400,-0.01701160076970254,-0.017157960297997665,0.030429748618775176,0.012730960908200872,-0.08463672924235033,0.5864065209135538,238.82572479248046,240.69357330322265,-0.03574093027071136,-0.04322384658894023,-0.03819908441955089,-0.04659194144923573,SPY,-0.46317055718839306,0,238.3965370177813,219.2103751226351,259.018208471257,-8.106665801960986,0,0
