Date,Close,High,Low,Open,Volume,daily_return,log_return,price_range,volatility_20d,volume_change,volume_zscore,ma_20,ma_50,price_vs_ma20,price_vs_ma50,momentum_5d,momentum_20d,ticker,if_score,if_anomaly,yhat,yhat_lower,yhat_upper,residual,prophet_anomaly,consensus_anomaly
2018-02-19,11225.2998046875,11273.7998046875,10513.2001953125,10552.599609375,7652089856,0.06382797366007709,0.06187369895710683,0.06775762096415333,0.07796453316659768,-0.12487633316594593,-0.3832088179499156,9103.446533203125,11550.00263671875,0.23308241156196288,-0.02811279289227023,0.18227881899935006,0.11072301649719374,BTC-USD,-0.5486771155537546,0,11437.3908168349,1097.92964773455,20954.671686058686,-212.09101214740076,0,0
2018-02-20,11403.7001953125,11958.5,11231.7998046875,11231.7998046875,9926540288,0.01589270609507487,0.01576773934263906,0.06372494741761194,0.07798077806007836,0.2972325828370408,0.6672823310004459,9162.5765625,11504.93263671875,0.24459535126667592,-0.008799046861270579,0.12170480771429015,0.11570189423188815,BTC-USD,-0.5122242034856687,0,11495.186839237758,2283.3957502688986,21763.92286893666,-91.48664392525825,0,0
2018-02-21,10690.400390625,11418.5,10479.099609375,11372.2001953125,9405339648,-0.06254985596523333,-0.06459170224791023,0.08787326538759127,0.07543828299411583,-0.05250576987332323,0.43387735458744053,9238.569580078125,11419.09865234375,0.15714887439691694,-0.06381399127059696,0.044606648743443555,0.16573291704616722,BTC-USD,-0.5350795814586247,0,11672.119084824004,1939.7408126202995,21578.09249745731,-981.718694199004,0,0
2018-02-22,10005.0,11039.099609375,9939.08984375,10660.400390625,8040079872,-0.06411363144322124,-0.06626121098880938,0.10994600356071964,0.07656919451527733,-0.1451579450711613,-0.12883268742326506,9297.282080078125,11315.17865234375,0.07612094737217315,-0.11578948000722622,-0.09967876176302715,0.13297285055063268,BTC-USD,-0.5422582501260215,0,11657.945407353141,2540.207526197473,20877.63991794149,-1652.9454073531415,0,0
2018-02-23,10301.099609375,10487.2998046875,9734.5595703125,9937.0703125,7739500032,0.02959516335582202,0.02916567969339066,0.07307377492883704,0.07640510168123639,-0.037385180842143706,-0.3094417981145635,9353.591552734375,11209.216640625,0.10129884882172731,-0.08101520921263641,-0.023758998460255976,0.12274664644621436,BTC-USD,-0.4699001865510656,0,11778.555868889793,1426.567087254334,21273.57920293503,-1477.4562595147927,0,0
2018-02-24,9813.0703125,10597.2001953125,9546.9697265625,10287.7001953125,6917929984,-0.04737642731178393,-0.048535445290413405,0.10702363636508387,0.07347973299772763,-0.10615285801448526,-0.7581476913407085,9430.394580078126,11056.888046875,0.04057897357023464,-0.11249256835213582,-0.12580773046237714,0.18558157962485033,BTC-USD,-0.5386850127099939,0,11847.44932336387,2118.9776727552485,21856.6129721015,-2034.3790108638696,0,0
2018-02-25,9664.73046875,9923.2197265625,9407.0595703125,9796.419921875,5706939904,-0.015116557715992629,-0.01523197751850677,0.053406575374135415,0.062004620319284595,-0.17505093037958097,-1.2777380549329302,9565.867602539063,10899.64265625,0.010334960749895353,-0.1132984104567763,-0.15249170854888883,0.3895550340404115,BTC-USD,-0.5043434588516079,0,11913.253135563891,2123.8709846218003,21523.66339537179,-2248.522666813891,0,0
2018-02-26,10366.7001953125,10475.0,9501.73046875,9669.4296875,7287690240,0.07263210586495439,0.07011553986619887,0.09388421705202608,0.059203657481579734,0.2769873807313181,-0.38174488257705863,9696.502612304688,10777.42466796875,0.06911745500458516,-0.038109704805170286,-0.030279520269078986,0.3369486968419526,BTC-USD,-0.5196732962419753,0,12034.052014410556,2625.844880076232,21446.39735258547,-1667.3518190980558,0,0
2018-02-27,10725.599609375,10878.5,10246.099609375,10393.900390625,6966179840,0.03462041028492213,0.0340346060989737,0.05896177497360925,0.05879739591969204,-0.044116913509210876,-0.5612344228842908,9851.717602539062,10688.53466796875,0.0887035177105274,0.0034677289785405006,0.07202394896301856,0.40731894614330644,BTC-USD,-0.4658526387901228,0,12013.029155166418,2811.733602436437,21685.523892256948,-1287.4295457914177,0,0
2018-02-28,10397.900390625,11089.7998046875,10393.099609375,10687.2001953125,6936189952,-0.030552997565149287,-0.03102947063646394,0.06700393051857487,0.057650915650685905,-0.004305069448221399,-0.5115029470595183,9958.333129882812,10604.58466796875,0.044140646331979075,-0.019490086959090547,0.009397130881241278,0.25797439592134364,BTC-USD,-0.4413584318296868,0,12120.97145104397,2365.4502501617203,21855.154474874213,-1723.0710604189699,0,0
2018-03-01,10951.0,11052.2998046875,10352.7001953125,10385.0,7317279744,0.05319339372337972,0.05182687604474616,0.06388454108072322,0.05750320508543792,0.0549422369683108,-0.21569670266966864,10069.034106445313,10524.138671875,0.08759190645606509,0.040560215085891645,0.1159606169386651,0.25340786089301637,BTC-USD,-0.4692513034383642,0,12048.94910697175,2346.2151873025523,21625.851402145454,-1097.9491069717496,0,0
2018-03-02,11086.400390625,11189.0,10850.099609375,10977.400390625,7620590080,0.012364203326180156,0.012288390831968733,0.030569019581106287,0.057176335681543726,0.041451242348456985,0.048729273092236854,10192.259106445312,10477.75068359375,0.08772748758067357,0.05808972988680532,0.14709876560674262,0.2858418548513699,BTC-USD,-0.44438580508591957,0,12123.829096212829,1730.4966703145212,21773.482762802887,-1037.4287055878285,0,0
2018-03-03,11489.7001953125,11528.2001953125,11002.400390625,11101.900390625,6690570240,0.036377885560451295,0.03573183173255637,0.045762708839175166,0.05481797550323972,-0.12204039716567461,-0.7860062051425818,10360.24560546875,10427.9326953125,0.10901812880261806,0.10181955820229632,0.10832762391525375,0.41325243410296064,BTC-USD,-0.46500027339139627,0,12159.732783325484,2399.359556362994,22302.27876899771,-670.032588012984,0,0
2018-03-04,11512.599609375,11512.599609375,11136.099609375,11497.400390625,6084149760,0.0019930384320943073,0.0019910549659772955,0.03270330010377557,0.05163482942457837,-0.0906380858801058,-1.2948560658699484,10489.5470703125,10370.98068359375,0.09753066859845098,0.11007820384693415,0.07337585110972267,0.28970021030963555,BTC-USD,-0.43676676007600435,0,12205.545935970527,2060.4105650177967,21577.148271172988,-692.9463265955274,0,0
2018-03-05,11573.2998046875,11704.099609375,11443.900390625,11532.400390625,6468539904,0.005272501204946822,0.005258650235306609,0.022482716523476932,0.050295121352137366,0.06317894186746642,-1.045460518183102,10638.29658203125,10327.0066796875,0.08789031358982131,0.12068290102410523,0.11304199597086617,0.34599710676233264,BTC-USD,-0.43765769894720014,0,12319.247263144345,2886.4311496923274,22189.106659802463,-745.9474584568452,0,0
2018-03-06,10779.900390625,11500.099609375,10694.2998046875,11500.099609375,6832169984,-0.06855429544313296,-0.07101737882303372,0.07475020876707573,0.049196355113196,0.056215171491040605,-0.6600763240298488,10702.560107421876,10266.20869140625,0.007226334860711627,0.050037137823698966,-0.015624108243539436,0.1353681527006272,BTC-USD,-0.46498417170272116,0,12303.55858750814,3148.114009307606,21965.066890176717,-1523.6581968831397,0,0
2018-03-07,9965.5703125,10929.5,9692.1201171875,10803.900390625,8797910016,-0.0755415215926486,-0.0785471416488412,0.12416548616996173,0.05016528525545369,0.2877182559279836,1.133254427103355,10692.518603515626,10235.71009765625,-0.06798662859250114,-0.02639189490313003,-0.10109954887366401,-0.01975429556268471,BTC-USD,-0.5111100777927982,0,12428.468083325846,2189.144571447613,22808.492687452937,-2462.8977708258462,0,0
2018-03-08,9395.009765625,10147.400390625,9335.8701171875,9951.4404296875,7186089984,-0.0572531755818666,-0.05895751127349285,0.08637886427822283,0.05174321981965474,-0.18320487809817576,-0.3303061523952388,10650.574072265625,10199.83830078125,-0.11788700760366966,-0.07890600923493117,-0.1823102773858346,-0.08197174029253651,BTC-USD,-0.4945822969131779,0,12383.936352040562,2234.332457212125,22289.52705788044,-2988.9265864155623,0,0
2018-03-09,9337.5498046875,9466.349609375,8513.0302734375,9414.6904296875,8704190464,-0.006116008644050375,-0.006134788034011313,0.10209523438996047,0.047328274075011764,0.21125542309936085,1.047073659153547,10561.816552734375,10157.0912890625,-0.11591441130739218,-0.08068663173850868,-0.18892777291727425,-0.15974068942971975,BTC-USD,-0.484436376855254,0,12495.443999963452,2788.541764475819,22655.46426032076,-3157.8941952759524,0,0
2018-03-10,8866.0,9531.3203125,8828.4697265625,9350.58984375,5386319872,-0.050500379066334866,-0.05182014795719041,0.07927482358870967,0.04732954105856292,-0.38118083533701497,-1.7157802789241687,10477.5265625,10102.26328125,-0.1538079195396933,-0.12237488242308323,-0.23392635206693346,-0.1597641952928831,BTC-USD,-0.5328799019015511,0,12575.490071797121,2271.2348021550215,21648.60645699853,-3709.4900717971213,0,0
2018-03-11,9578.6298828125,9711.8896484375,8607.1201171875,8852.7802734375,6296370176,0.08037783474086391,0.0773108269362234,0.11533690567085728,0.048766854749543787,0.16895585958991477,-0.8588335932065676,10395.19306640625,10035.851875,-0.07855199786838067,-0.04555886215563542,-0.11143614173440919,-0.1466927343167599,BTC-USD,-0.5240314439052818,0,12671.148426152104,3502.740845859625,22557.06172626666,-3092.5185433396036,0,0
2018-03-12,9205.1201171875,9937.5,8956.4296875,9602.9296875,6457399808,-0.03899407015352063,-0.039774699535065794,0.10657876268970977,0.048968477785127626,0.025574994401345696,-0.6661189644146042,10285.2640625,9987.95228515625,-0.10501859152558829,-0.07837764394731528,-0.07630774471167523,-0.19279532436574653,BTC-USD,-0.45576052977779385,0,12838.446918998958,2686.028791782594,22327.541618408013,-3633.3268018114577,0,0
2018-03-13,9194.849609375,9470.3798828125,8958.1904296875,9173.0400390625,5991139840,-0.001115738597840088,-0.0011163614975213596,0.05570395111223738,0.047367051985639494,-0.0722055288294765,-1.0785853879037621,10210.4865234375,9953.22126953125,-0.09946998232955614,-0.07619358995642682,-0.021304943926972575,-0.13989661066030146,BTC-USD,-0.3992173922712337,0,12878.071130484705,3908.458966822841,23155.6343102758,-3683.2215211097046,0,0
2018-03-14,8269.8095703125,9355.849609375,8068.58984375,9214.650390625,6438230016,-0.10060415105858134,-0.10603202002040293,0.15565772762725866,0.05031644398818506,0.07462522790988624,-0.5149446141658922,10123.727001953124,9901.249453125,-0.18312598031169317,-0.16477111202340122,-0.11434908050921333,-0.17343232680534737,BTC-USD,-0.5785869599862915,0,13057.942630970407,3198.63522627107,22999.511956419192,-4788.133060657907,0,0
